1	未然	みぜん	trước khi xảy ra	事故を未然に防ぐことが重要だ。
1	未遂	みすい	bất thành	犯行は未遂に終わった。
1	未曽有	みぞう	chưa từng có	未曽有の危機に直面している。
1	未踏	みとう	chưa ai đặt chân tới	未踏の分野に挑戦する。
1	未開	みかい	chưa khai phá	未開の地を探検する。
1	未熟	みじゅく	non nớt	彼の考え方はまだ未熟だ。
1	未練	みれん	lưu luyến	過去に未練を残している。
1	未知	みち	chưa biết	未知の世界に魅力を感じる。
1	未定	みてい	chưa quyết định	日程はまだ未定だ。
1	未納	みのう	chưa nộp	税金が未納のままだ。
2	不備	ふび	thiếu sót, không đầy đủ	書類に不備があったため、受理されなかった。
2	不当	ふとう	không chính đáng	不当な解雇として訴えられた。
2	不朽	ふきゅう	bất hủ	これは不朽の名作とされている。
2	不審	ふしん	đáng ngờ, khả nghi	不審な人物が目撃された。
2	不透明	ふとうめい	không rõ ràng	今後の見通しは不透明だ。
2	不慣れ	ふなれ	chưa quen	新しい環境にまだ不慣れだ。
2	不服	ふふく	không đồng ý, bất phục	判決を不服として控訴した。
2	不備	ふび	thiếu sót	契約書に不備が見つかった。
2	不在	ふざい	vắng mặt	担当者が不在だった。
2	不況	ふきょう	suy thoái kinh tế	不況の影響で売上が減少した。
3	無謀	むぼう	liều lĩnh	それは無謀な挑戦だ。
3	無頓着	むとんちゃく	không để tâm	彼は服装に無頓着だ。
3	無念	むねん	đáng tiếc, nuối tiếc	無念の思いが残った。
3	無差別	むさべつ	không phân biệt	無差別攻撃が発生した。
3	無為	むい	vô ích, không làm gì	無為に時間を過ごしてしまった。
3	無償	むしょう	miễn phí	サービスを無償で提供する。
3	無断	むだん	không xin phép	無断転載は禁止されている。
3	無効	むこう	vô hiệu	その契約は無効となった。
3	無縁	むえん	không liên quan	私には無縁の世界だ。
3	無論	むろん	đương nhiên	無論、その案に賛成だ。
4	非難	ひなん	chỉ trích	政府は厳しい非難を受けた。
4	非凡	ひぼん	phi thường	彼は非凡な才能を持っている。
4	非情	ひじょう	lạnh lùng, vô tình	非情な判断を下した。
4	非営利	ひえいり	phi lợi nhuận	非営利団体で働いている。
4	非対称	ひたいしょう	bất đối xứng	情報が非対称である。
4	非公開	ひこうかい	không công khai	会議は非公開で行われた。
4	非現実的	ひげんじつてき	phi thực tế	その計画は非現実的だ。
4	非合法	ひごうほう	phi pháp	非合法な取引が行われていた。
4	非常識	ひじょうしき	thiếu thường thức	彼の発言は非常識だ。
4	非正規	ひせいき	không chính thức, phi chính quy	非正規雇用が増加している。
5	新興	しんこう	mới nổi	新興企業が急成長している。
5	新設	しんせつ	mới thành lập	新しい部署が新設された。
5	新鋭	しんえい	ngôi sao mới nổi	新鋭の作家として注目されている。
5	新興国	しんこうこく	quốc gia mới nổi	新興国市場が拡大している。
5	新規	しんき	mới, mới đăng ký	新規顧客を獲得する。
6	旧態依然	きゅうたいいぜん	vẫn như cũ	組織は旧態依然としている。
6	旧姓	きゅうせい	họ trước khi kết hôn	旧姓を使用する。
6	旧知	きゅうち	quen biết từ lâu	彼とは旧知の仲だ。
6	旧来	きゅうらい	từ trước tới nay	旧来の方法を見直す。
6	旧式	きゅうしき	kiểu cũ	旧式の設備を更新した。
7	元凶	げんきょう	nguyên nhân chính, thủ phạm chính	それが問題の元凶だ。
7	元首	げんしゅ	nguyên thủ quốc gia	各国の元首が集まった。
7	元年	がんねん	năm đầu tiên của niên hiệu	令和元年に制定された。
7	元来	がんらい	vốn dĩ	元来、彼は慎重な性格だ。
7	元通り	もとどおり	trở lại như cũ	生活が元通りになった。
8	前提	ぜんてい	tiền đề	その議論は前提が間違っている。
8	前例	ぜんれい	tiền lệ	前例のない挑戦だ。
8	前途	ぜんと	tương lai phía trước	前途有望な若者だ。
8	前衛	ぜんえい	tiên phong	前衛芸術として評価される。
8	前兆	ぜんちょう	điềm báo	異変は地震の前兆だった。
9	現状	げんじょう	hiện trạng	まず現状を把握する必要がある。
9	現行	げんこう	hiện hành	現行制度を見直す。
9	現実味	げんじつみ	tính thực tế	計画が現実味を帯びてきた。
9	現地	げんち	địa phương tại chỗ	現地調査を行った。
9	現役	げんえき	đang hoạt động, đương nhiệm	彼は今も現役で活躍している。
10	再燃	さいねん	bùng phát trở lại	その問題が再燃している。
10	再編	さいへん	tái cơ cấu	業界再編が進んでいる。
10	再建	さいけん	tái thiết, phục hồi	経営再建を目指す。
10	再生	さいせい	phục hồi, tái sinh	地域の再生が課題だ。
10	再発	さいはつ	tái phát	病気が再発した。
11	改革	かいかく	cải cách	行政改革が進められている。
11	改正	かいせい	sửa đổi luật, quy định	法律が改正された。
11	改訂	かいてい	chỉnh sửa nội dung	教科書が改訂された。
11	改善	かいぜん	cải thiện	労働環境を改善する。
11	改修	かいしゅう	tu sửa, cải tạo	建物の改修工事が行われる。
12	転換	てんかん	chuyển đổi	発想の転換が必要だ。
12	転落	てんらく	rơi xuống, sa sút	彼は転落人生を送った。
12	転機	てんき	bước ngoặt	それが人生の転機となった。
12	転勤	てんきん	thuyên chuyển công tác	大阪へ転勤することになった。
12	転覆	てんぷく	lật đổ, lật úp	船が転覆した。
13	逆転	ぎゃくてん	lội ngược dòng, đảo ngược	試合で逆転勝利した。
13	逆説	ぎゃくせつ	nghịch lý	逆説的な表現だ。
13	逆行	ぎゃっこう	đi ngược lại	時代に逆行する考え方だ。
13	逆効果	ぎゃくこうか	phản tác dụng	その対策は逆効果だった。
13	逆境	ぎゃっきょう	nghịch cảnh	逆境を乗り越えた。
14	超過	ちょうか	vượt quá	予算を超過した。
14	超越	ちょうえつ	vượt lên trên	常識を超越した発想だ。
14	超大国	ちょうたいこく	siêu cường	超大国としての責任を負う。
14	超高齢化	ちょうこうれいか	siêu già hóa	日本は超高齢化社会に入った。
14	超人的	ちょうじんてき	phi thường, siêu phàm	彼は超人的な能力を持つ。
15	極端	きょくたん	cực đoan	極端な考え方だ。
15	極小	きょくしょう	cực nhỏ	極小サイズの部品だ。
15	極秘	ごくひ	tuyệt mật	極秘資料が流出した。
15	極論	きょくろん	nói cực đoan	極論すれば不可能ではない。
15	極致	きょくち	đỉnh cao, cực điểm	芸術の極致と言われる。
16	真相	しんそう	sự thật, chân tướng	事件の真相を究明する。
16	真価	しんか	giá trị thực sự	実力が試されて真価が問われる。
16	真髄	しんずい	tinh túy	日本文化の真髄に触れる。
16	真摯	しんし	chân thành, nghiêm túc	真摯な態度で対応した。
16	真偽	しんぎ	thật giả	情報の真偽を確かめる。
17	大幅	おおはば	đáng kể, trên diện rộng	売上が大幅に増加した。
17	大局	たいきょく	toàn cục, bức tranh tổng thể	大局を見ることが重要だ。
17	大義	たいぎ	đại nghĩa, chính nghĩa	大義を掲げて戦う。
17	大半	たいはん	phần lớn	参加者の大半が賛成した。
17	大筋	おおすじ	đại ý, khái quát	大筋で合意した。
18	小売	こうり	bán lẻ	小売業界は競争が激しい。
18	小規模	しょうきぼ	quy mô nhỏ	小規模企業を支援する。
18	小康	しょうこう	tạm ổn định	病状は小康を保っている。
18	小柄	こがら	nhỏ người	彼女は小柄な女性だ。
18	小数派	しょうすうは	thiểu số	その意見は小数派だった。
19	全面	ぜんめん	toàn diện, toàn bộ	契約内容を全面的に見直す。
19	全盛	ぜんせい	thời kỳ cực thịnh	全盛期を迎える。
19	全般	ぜんぱん	nói chung, toàn bộ lĩnh vực	業務全般を担当している。
19	全力	ぜんりょく	toàn lực	全力で取り組む。
19	全容	ぜんよう	toàn bộ sự việc	事件の全容が明らかになった。
20	総括	そうかつ	tổng kết	一年間の活動を総括する。
20	総称	そうしょう	tên gọi chung	これらを総称して〇〇という。
20	総合	そうごう	tổng hợp	総合的に判断する。
20	総額	そうがく	tổng số tiền	総額は一億円に達した。
20	総勢	そうぜい	tổng số người tham gia	総勢100名が参加した。
21	各自	かくじ	mỗi người	各自で準備してください。
21	各種	かくしゅ	các loại	各種手続きを行う。
21	各界	かっかい	các giới, các lĩnh vực	各界の著名人が集まった。
21	各国	かっこく	các quốc gia	各国の代表が会議に参加した。
21	各々	おのおの	mỗi người, từng người	各々の役割を果たす。
22	諸国	しょこく	các nước	諸国との関係を強化する。
22	諸問題	しょもんだい	nhiều vấn đề	諸問題を解決する。
22	諸事情	しょじじょう	nhiều lý do khác nhau	諸事情により中止となった。
22	諸外国	しょがいこく	các nước nước ngoài	諸外国の事例を参考にする。
22	諸説	しょせつ	nhiều học thuyết, nhiều ý kiến	この件については諸説ある。
23	単独	たんどく	đơn độc, riêng lẻ	単独で行動する。
23	単一	たんいつ	đơn nhất	原因は単一ではない。
23	単調	たんちょう	đơn điệu	単調な作業が続く。
23	単刀直入	たんとうちょくにゅう	đi thẳng vào vấn đề	単刀直入に言います。
23	単発	たんぱつ	đơn lẻ, một lần	単発の仕事を請け負う。
24	複合	ふくごう	tổng hợp, phức hợp	複合的な要因がある。
24	複雑	ふくざつ	phức tạp	事情が複雑だ。
24	複数	ふくすう	số nhiều, nhiều hơn một	複数の案を検討する。
24	複写	ふくしゃ	sao chép	書類を複写する。
24	複利	ふくり	lãi kép	複利の効果は大きい。
25	対策	たいさく	biện pháp đối phó	事故対策を強化する。
25	対処	たいしょ	xử lý, ứng phó	冷静に対処する。
25	対等	たいとう	bình đẳng	両者は対等な関係にある。
25	対立	たいりつ	đối lập, xung đột	意見が対立している。
25	対面	たいめん	gặp mặt trực tiếp	対面で話し合う。
26	反発	はんぱつ	phản đối, phản kháng	住民の反発を招いた。
26	反論	はんろん	phản biện	彼の意見に反論した。
26	反響	はんきょう	tiếng vang, phản ứng	大きな反響を呼んだ。
26	反感	はんかん	ác cảm	人々の反感を買った。
26	反省	はんせい	tự kiểm điểm	自分の行動を反省する。
27	同様	どうよう	tương tự	前回と同様の方法を採用した。
27	同意	どうい	đồng ý	本人の同意を得る。
27	同調	どうちょう	hùa theo, đồng điệu	周囲に同調しすぎる。
27	同等	どうとう	tương đương	両者は同等の価値を持つ。
27	同封	どうふう	đính kèm trong phong bì	必要書類を同封してください。
28	異論	いろん	ý kiến phản đối	この案に異論はない。
28	異動	いどう	điều chuyển nhân sự	人事異動が発表された。
28	異例	いれい	hiếm có, ngoại lệ	異例の措置が取られた。
28	異議	いぎ	ý kiến phản đối	異議を申し立てる。
28	異彩	いさい	nổi bật khác thường	彼は業界で異彩を放っている。
29	正当	せいとう	chính đáng	正当な理由がある。
29	正常	せいじょう	bình thường	機械は正常に動いている。
29	是正	ぜせい	chỉnh sửa, khắc phục	格差を是正する。
29	正規	せいき	chính thức	正規雇用を増やす。
29	正味	しょうみ	thực chất, thực tế	正味の作業時間は三時間だ。
30	準備	じゅんび	chuẩn bị	会議の準備を進める。
30	準拠	じゅんきょ	tuân theo chuẩn	国際基準に準拠する。
30	準決勝	じゅんけっしょう	bán kết	準決勝に進出した。
30	準急	じゅんきゅう	tàu bán tốc hành	準急に乗り換える。
30	準ずる	じゅんずる	tương đương, theo như	正社員に準ずる待遇だ。
31	仮説	かせつ	giả thuyết	仮説を検証する。
31	仮定	かてい	giả định	仮定の話をする。
31	仮名	かな	kana	仮名で書く。
31	仮設	かせつ	tạm thời	仮設住宅が建設された。
31	仮免許	かりめんきょ	bằng lái tạm thời	仮免許を取得した。
32	公開	こうかい	công khai	情報を公開する。
32	公表	こうひょう	công bố	調査結果を公表した。
32	公然	こうぜん	công khai, ngang nhiên	公然の秘密となっている。
32	公益	こうえき	lợi ích công cộng	公益を重視する。
32	公募	こうぼ	công khai tuyển chọn	アイデアを公募する。
33	私有	しゆう	sở hữu tư nhân	土地を私有する。
33	私費	しひ	tự chi trả	私費で留学した。
33	私欲	しよく	tư dục, lợi ích cá nhân	私欲を捨てるべきだ。
33	私見	しけん	ý kiến cá nhân	私見を述べさせていただく。
33	私語	しご	nói chuyện riêng	授業中の私語は禁止だ。
34	民間	みんかん	tư nhân, dân sự	民間企業で働く。
34	民営	みんえい	tư nhân hóa vận hành	空港が民営化された。
34	民俗	みんぞく	dân tục, văn hóa dân gian	民俗学を学ぶ。
34	民需	みんじゅ	nhu cầu dân sự	民需が回復している。
34	民意	みんい	ý dân	民意を反映する政策だ。
35	国策	こくさく	quốc sách	国策として推進されている。
35	国交	こっこう	quan hệ ngoại giao	両国は国交を樹立した。
35	国有	こくゆう	quốc hữu	その土地は国有だ。
35	国産	こくさん	sản xuất trong nước	国産の食品を選ぶ。
35	国益	こくえき	lợi ích quốc gia	国益を守ることが重要だ。